Date,Artist ,Album,Genre,Year,Label,
04/09/2023,Synkro,Information,Electronic,2022,R&S Records,IDM / dnb kinda sounds. very sleek and polished 
05/09/2023,Tirzah,Trip9love…???,Experimental,2023,Domino,
05/09/2023,Au Revoir Simone,"Verses of Confort, Assurance & Salvation",Pop,2005,Moshi Moshi Records,Indie pop. very 2000s
06/09/2023,Funk Assault,Minimum One Post A Week,Electronic,2023,Primal Instinct,fast groovy techno
06/09/2023,Reptant,Freq Accident,Electronic,2019,Planet Euphorique,Smooth chill electro
06/09/2023,Arca,Stretch2,Electronic,2014,[self],More hip hop orientated
06/09/2023,"Jensen Interceptor, CSMNT61",Plus,Electronic,2019,Motorik,Classic electro
11/09/2023,Irreversible Entanglements,Protect Your Light,Jazz,2023,Impulse!,very free jazz
11/09/2023,Himera,Fragile,Electronic,2018,Gin & Platonic,hyperpoppy and clubby 
11/09/2023,Cocteau Twins,Iceblink Luck,Rock,1990,4AD,shoegazy dreampop
11/09/2023,Patti Smith,Radio Ethiopia,Rock,1976,Arista Records,Early punk
12/09/2023,Saoirse ,Fabric Presents Saoirse,Electronic,2023,Fabric Records,Housy tech house stuff. alittle underwhelming
12/09/2023,Boys Noize,FABRICLIVE72: Boys Noize,Electronic,2013,Fabric Records,The techno bits were good but the more dubstep stuff aged badly
13/09/2023,Flora Yin-Wong,The Sacrifice,Ambient,2021,First Light Records,Glacial yet tender
13/09/2023,"Le Cri du Caire, Abdullah Miniawy",Le Cri du Caire,Jazz,2023,Les Disques du Festival Permanent,arabic spoken word jazz
14/09/2023,Thomas P. Heckmann,Welt in Scherben I-V (Extended),Electronic,2013,Trope Recordings,Heavy driving techno compilation of prev releases.
15/09/2023,Pelada,Ahora M​á​s Que Nunca,Electronic,2023,[self],
15/09/2023,Mitski,The Land Is Inhospitable and So Are We,Rock,2023,Dead Oceans,
15/09/2023,Hinako Omori,a journey...,Ambient,2022,Houndstooth,
16/09/2023,Pharoah Sanders,Pharoah,Jazz,1977,Luaka Bop,Really good reissue
17/09/2023,Melanie Martinez,K-12,Pop,2019,Atlantic,
18/09/2023,"The Imposters, Tim Reaper",FR017,Electronic,2023,Future Retro London,Jungle stuff and heavy breaks
18/09/2023,Redeyes,Unfinished Theory,Electronic,2019,The North Quarter,smooth liquid jungle sounds
19/09/2023,Slowdive,Everything Is Alive,Rock,2023,Dead Oceans,shoegazy goodness
19/09/2023,Nabihah Iqbal,Dreamer,Pop,2023,Ninja Tune,Interesting poppy dreamy sound. She did some vocals for SOPHIE
20/09/2023,Eartheater,Powders,Pop,2023,Chemical X,mother
22/09/2023,Laurel Halo,Atlas,Ambient,2023,Awe,soft and tranquil. sometimes it nearly brings me to tears
23/09/2023,Loraine James,Gentle Confrontation,Electronic,2023,Hyperdub,
25/09/2023,Westside Gunn,Pray for Paris,Hip Hop,2020,Griselda Records,
26/09/2023,Lighght,Holy Endings,Ambient,2021,Doom Trip Records,
26/09/2023,Suburban Knight,Nocturbulous Behaviour - The Mix,Electronic,2009,Submerge Recordings,Pounding detroit techno and electro. Full of classic artists
27/09/2023,Helena Hauff,Fabric Presents Helena Hauff,Electronic,2023,Fabric Records,Icy electro
29/09/2023,Oneohtrix Point Never,Again,Experimental,2023,WARP,lessy poppy. More similar to r plus 7
03/10/2023,Armand Hammer,We Bur Diabetic Test Strips,Hip Hop,2023,Backwoodz Studioz,
03/10/2023,IMOGEN,What?,Electronic,2022,Voitax,gritty electro and techno
04/10/2023,Animal Collective,Isn't It Now?,Rock,2023,Domino,vocals really remind me of beach boys lol
04/10/2023,Yion,yyy,Electronic,2023,[self],more ravey and deep. Less breaksy than prev work
04/10/2023,Various Artists,"Doing It in Lagos: Boogie, Pop, & Disco in 1980s Nigeria",Pop,2016,Soundway Records,Disco and funky stuff
05/10/2023,"Abdullah Miniawy, Carl Gari","Between the Bullet and the Front Sight, Casting Lots (Live at haus Der Kunst)",Experimental,2022,Molten Moods,Ambienty. middle eastern influenced ambient and jazz
05/10/2023,Flora Yin-Wong,Holy Palm,Ambient,2020,Modern Love,
06/10/2023,Call Super,Eulo Cramps,Electronic,2023,Can You Feel The Sun,interesting jazzy electronic chill stuff
06/10/2023,Hannah Diamond,Perfect Picture,Pop,2023,PC Music,Classic hyperpop
06/10/2023,Aho Ssan,Rhisomes,Ambient,2023,Other People,Heavy and intense. great features. Loved the Blackhaine track
07/10/2023,Sufjan Stevens,Javelin,Folk,2023,Asthmatic Kitty,Very sad. Especially with backstory. nearly made me cry :'(
09/10/2023,Joy Orbison,archive 09-10,Electronic,2023,Hinge finger,
09/10/2023,Various Artists,Blue Note Re:Imagined,Jazz,2020,Decca,some good interpretations of classic blue note stuff by current uk jazz heads
10/10/2023,Voice Actor,Fake Sleep,Experimental,2023,Stroom,More curated version of the full Sent From My Phone project
11/10/2023,Melatron,Space Exploration,Electronic,2020,Balter Records,Chill Electro
11/10/2023,Fun Boy Three ,Waiting,Pop,1983,Chrysalis,Post ska poppy stuff from guys from the specials
12/10/2023,"Inca Core, Grouper",Inca Core / Grouper ,Ambient,2008,[self],shoegazy ambient 
13/10/2023,"Abdullah Miniawy, Carl Gari",Whities 023 (The Act of Falling From the 8th Floor),Experimental,2019,AD 93,
13/10/2023,Maxwell Sterling,Turn Of Phrase,Experimental,2021,AD 93,Very R plus 7. scratched an itch
14/10/2023,CMAT,"Crazymad, For Me",Rock,2023,[self],
15/10/2023,"Earl Sweatshirt, The Alchemist",VOIR DIRE,Hip Hop,2023,Warner Music,
16/10/2023,Troye Sivan,Something to Give Each Other,Pop,2023,Universal,
17/10/2023,georg-i,Rave Ballista,Electronic,2023,YCO,Heavy UK bass
17/10/2023,Small Car NRG,Road Legal,Electronic,2022,YCO,UK Bass
18/10/2023,Animal Collective,Sung Tongs,Rock,2004,FatCat,
19/10/2023,Robodroid,From the Future,Electronic,2022,LDI Records,gritty electro
20/10/2023,"Moondog, Kronos Quartet",Songs and Symphoniques: The Music of Moondog,Jazz,2023,Cantaloupe Music,Very good versions of moondog tracks
20/10/2023,Jam City,Jam City Presents EFM,Pop,2023,Earthly,poppy electronic stuff. elements of grime
21/10/2023,Mount Eerie,Dawn,Folk,2008, P. W. Elverum & Sun,
22/10/2023,"Adrianne Lenker, Buck Meek",a-sides,Folk,2014,Saddle Creek,
22/10/2023,Lee Gamble,Models,Electronic,2023,Hyperdub,Kind of reminded of BOC and OPN
23/10/2023,Elliot Smith,Either/Or,Folk,1997,Kill Rock Stars,
23/10/2023,Various Artists,Dreams of Electric Bleeps: A Collection of Irish Electro 1999-2005,Electronic,2023,Earwiggle,
24/10/2023,"Gilberto Gil, Jorge Ben Jor",Gil e Jorge,Jazz,1975,Verve,Fun brazilian samba stuff
24/10/2023,Evian Christ,Revanchist,Electronic,2023,WARP,Decon club. heavy intense 
25/10/2023,"DJ Swisha, Kush Jones",Outta Bounds,Electronic,2021,[self],Footwerky stuffffff
25/10/2023,Reverend Kristin Michael Hayter,SAVED!,Experimental,2023,Perpetual Flame Ministries,fuck that was intense
25/10/2023,Forest Swords,Bolted,Electronic,2023,Ninja Tune,experimental dubby 
27/10/2023,Various Artists,"I am Here Now, When Will You Be here Again?",Ambient,2023,Posh Isolation,About as classic PI as you can get lol. 
27/10/2023,LSDXOXO,Delusions of Grandeur (D.O.G.) EP,Electronic,2023,Because Music,V Gay. Very LSDXOXO. Some good throwback electroclash sounds
28/10/2023,Bridget St John,Ask Me No Questions,Folk,1969,Dandelion Records,
28/10/2023,Kojaque,PHANTOM OF THE AFTERS,Hip Hop,2023,Soft Boy Records,so many references to pints of guinness
29/10/2023,Jonatan leandoer96,Pschopath Ballads,Rock,2017,YEAR0001,yung lean is a shit ballad singer
30/10/2023,"John Glacier, SURF GANG",JGSG,Hip Hop,2023,Surf Gang Records,UK hip hop 
31/10/2023,Swans,The Seer,Rock,2012,Young God,Noisy and post rocky. Very long. Nearly 2 hours
31/10/2023,Marina Herlop,Nekkuja,Experimental,2023,PAN,Not as instantly engaging as pripyat. Bit more electronic sounds on it
03/11/2023,Lolahol,Go,Pop,2022,Chemical X,Madonna's daughter. Reminded me of eartheater
04/11/2023,Kavari,"Against the Wood, Opposed to Flesh",Experimental,2023,mould poisoning,heavy noisy. glitchy. same tension as daughters record. Made me feel like there was pressure being applied to my chest
08/11/2023,"Croatian Amor, Lust for Youth",Pomegranate,Electronic,2013,Posh Isolation,More ambient than their recent collabs
08/11/2023,Slint ,Spiderland,Rock,1991,Touch and Go,Grungy post rocky goodness
08/11/2023,Mount Eerie,After (Live),Folk,2018,P.W. Elverum & Sun,This made me sad :(
08/11/2023,Alex G,Race,Rock,2010,Gold Soundz,Heard most of these tracks before but never the whole album
09/11/2023,"Philip Glass, Kronos Quartet",Mishima: Alife In Four Chapters,Classical,1985,Nonesuch Records,Bit repetitive at times but overall very good
09/11/2023,"Frederik Valentin, Loke Rahbek",The Friend's Place,Ambient,2023,Posh Isolation,Gentle nostalgic synthy stuff. Very PI
12/11/2023,Take Care,Agony,Rock,2022,[self],Shoegazy stuff from signcrushesmotorist
13/11/2023,My Tribe Your Tribe,Neo-Shoulder,Rock,2023,[self],we <3 george
14/11/2023,Derrick May,Innovator (Mayday),Electronic,1997,Transmat,Old school detroit techno. not very heavy but very groovy. Can see big influence on mount Kimbie
14/11/2023,Wladimir M,Leaves Fallin' Recklessly,Electronic,2020,Delsin,Compilation of his 90s releases. downtempo idm stuff
14/11/2023,Aisha Devi,Death Is Home,Electronic,2023,Houndstooth,
14/11/2023,Klein,touched by an angel,Experimental,2023,Parkwuud Entertainment,Ambienty. Noisy. RnB elements. Pretty long too
15/11/2023,Slowdive,Souvlaki,Rock,1993,Creation Records,Shoegazy goodness
15/11/2023,Mazzy Star,So Tonight I Might See,Rock,1993,Capitol ,Pleasant dream pop but it got a bit boring at times.
15/11/2023,Angel Olsen,Burn Your Fire For No WItness,Folk,2014,Jagjaguwar,Very sad indie folk. made me a lil emotional and contemplative
15/11/2023,Matmos,Return to Archive,Experimental,2023,Smithsonian Folkways,Gulchy and interesting. better than their last record
16/11/2023,Kali Malone,Velocity Of Sleep,Ambient,2021,XKatedral,Interesting with other instruiments. Much less drony than what I'm used to
16/11/2023,Dornen,Intricate Decor,Ambient,2023,Brutalism,"Brutalism cologne resident. Dark and moody, sounds like a posh isolation release "
17/11/2023,Andre 3000,New Blue Sun ,Jazz,2023,Epic Records,Reminded me of floating points and pharaoh sanders record 
17/11/2023,TWR72,Club Cult Vol 3 ,Electronic ,2023,Float Records,Heavy hitting but sleek techno 
17/11/2023,Verraco ,Escandaloo,Electronic ,2023,Voam,Dubby percussive stuff. Not super memorable 
22/11/2023,Oxhy,giving in,Experimental,2023,xquisite releases,interesting short ep
24/11/2023,Sansibar,Paradise Industrial Complex,Electronic,2020,Emotsiya,couple of groovy electro tunes
24/11/2023,Sedef Adasi,Fantasy Zone,Electronic,2021,Public Possession,
25/11/2023,"Roza Terenzi, D. Tiffany",Step Ball Chain,Electronic,2021,[self],groovy technoey house stuff
25/11/2023,Inga Copeland,Because I'm Worth It,Experimental,2014,[self],interesting experimental indie stuff from hype williams member
27/11/2023,Basic Channel,Radiance,Electronic,1994,Basic Channel,deep dubby techno. from moritz von ozwald and the guy who founded Hard Wax
27/11/2023,Maurizio,M-Series,Electronic,1997,Basic Channel,Compilation of Maurizio releases. Same people as Basic channel but a little bit more dancy
28/11/2023,Robert Hood,DJ-Kicks,Electronic,2018,!K7,pounding detroit techno
28/11/2023,"Surgeon, James Ruskin",Sound Pressure,Electronic,1998,Dynamic Tension Records,classic 90s techno
28/11/2023,Thom York,The Eraser Rmxs,Electronic,2008,XL Recordings,some interesting remixes. The surgeon one and burial one quite good 
29/11/2023,Surgeon,Crash Recoil,Electronic,2023,Tresor Records,Bit more cinematic than his 90s stuff
29/11/2023,Plastikman,Sheet One,Electronic,1993,Plus 8 Records,Minimal 90s techno. Bit boring at times but interesting listen nonetheless
29/11/2023,Morganistic,Fluids Amniotic,Electronic,1994,Input Neuron Muique,Luke Slater project. Heavy 90s techno. Pounding and intense.
30/11/2023,Buck Meek,Haunted Mountain,Folk,2023,4AD,Reminded me of velvet underground and bob dylan at times
30/11/2023,Lael Neale ,Acquainted with Night,Folk,2021,Sub Pop Records ,LoFi bedroomy folk. Vocal style reminded me of Cate le Bon. Liked the little organ sound instead of a traditional guitar folk sound
30/11/2023,Jenny Hval,The Long Sleep,Pop,2018,Sacred Bones,Tender little art pop ep
01/12/2023,Coil,Theme From The Gay Man's Guide To Safer Sex,Electronic,2019,Musique Pour La Dance,"New agey, prog house. a lot of fun"
01/12/2023,Bianca Scout ,The Heart of the Anchoress,Experimental,2023,First Terrace Records,Interesting and chill project. Kind of if you mixed kali malone with eartheater with grouper kind of vibe
01/12/2023,Broadcast,The Noise Made By People,Rock,2000,WARP,Fun bright dream poppy sound.
01/12/2023,Jessica Pratt ,On Your Own Love Again,Folk,2015,Drag City ,Very unusual voice and singing style
03/12/2023,Stereolab,Peng!,Rock,1992,Too Pure Records,Not their best but still good
04/12/2023,Lars Huismann,Sounds From the Past I,Electronic,2022,Mutual Rytm,tribaly hardgroove. very sleek sounding
04/12/2023,Vegyn,Text While Driving If You Want To Meet God!,Electronic,2019,PLZ Make It Ruins,lots of short tracks. but fun nonetheless. I like the 'did i ever tell you that i'm vegyn' tag
05/12/2023,Dominique Guiot,L'Univers De La Mer,Ambient,1978,Chicago 2000,Experimental early electronica
06/12/2023,The Future Sound Of London,Lifeforms,Ambient,1994,Virgin Records,"Chill out room electronic stuff, very IDMy"
06/12/2023,Ana Roxanne,Because of a Flower,Ambient,2020,Kranky,"Beautiful ambient record. Natural sounds, soft vocals. soothing "
06/12/2023,Ana Roxanne,~~~,Ambient,2015,Leaving Records,"Soft ambient, lots of sound collage "
08/12/2023,Blawan,Make a Goose,Electronic,2021,Ternesc,Wonky industrial techno
09/12/2023,Yusef Lateef,Meditations,Jazz,1990,Atlantic,Free spacey jazz. very chill
11/12/2023,Patrick Cowley,School Daze,Electronic,2013,Dark Entries,1970s gay porno soundtrack. great stuff
12/12/2023,Moodyman,DJ-Kicks,Electronic,2016,!K7,real mix of lots of stuff. Funk. Soul. House
12/12/2023,Assembler Code,Write Pulse EP,Electronic,2020,Cultivated Electronics,Snappy icy electro
13/12/2023,The Detroit Escalator Co.,Soundtrack [313],Electronic,1996,Ferox Records,Chill idm sounding ambient techno
13/12/2023,Alarico,Boya,Electronic,2022,Mutual Rytm,hardgroove techno
14/12/2023,DJ Stingray 313,Kern Vol.4,Electronic,2017,Tresor Records,Electro
18/12/2023,Coil,Stolen & Contaminated Songs,Experimental,1992,Threshold House,Spacy. Some overlap with gay mans guide
18/12/2023,Tolerance,Divin,Experimental,1981,Vanity Records,Interesiting early japanese electronic made by a dentist student
18/12/2023,Nine Inch Nails,The Downward Spiral,Rock,1994,Interscope,Industrail angsty very 90s
18/12/2023,Sade,Love Deluxe,Pop,1992,Epic Records,rnb pretty good. recognised some of the tracks
19/12/2023,LTJ Bukem,Producer 01,Electronic,2000,Good Looking Records,liquid dnb and jungle. very sleek
19/12/2023,Lucy Railton,Corner Dancer,Experimental,2023,Modern Love,Grating ambient noisy stuff. Gave me goosebumps
22/12/2023,"Manao, Dagga",Escape From Horno City,Electronic,2022,[self],good gritty electro
26/12/2023,Genesis Fawn,girl with a dagger,Experimental,2022,Hunkofplastic Records,noisy industrially with tender vocals a la Eartheater
26/12/2023,"Steve Reich, Steve Reich Ensemble",Music For 18 Musicians,Classical,1978,Universal,Good music for solo walk. One of my favs
28/12/2023,Morcheeba,Big Calm,Hip Hop,1998,Sire Records,Very 90s trip hop. 
30/12/2023,Hole,Pretty On the Inside,Rock,1991,Caroline Records,Really good. Maman hated it lol
31/12/2024,Bridget St John,Songs For the Gentle Man,Folk,1971,Dandelion Records,Pretty folk music
